date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,rangers_mask,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,islanders_mask,devils_wins,devils_losses,devils_num_events,devils_ties,devils_mask,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,knicks_mask,mets_wins,mets_losses,mets_num_events,mets_ties,mets_mask,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,yankees_mask,giants_wins,giants_losses,giants_num_events,giants_ties,giants_mask,jets_wins,jets_losses,jets_num_events,jets_ties,jets_mask,nets_wins,nets_losses,nets_num_events,nets_ties,nets_mask,num_events,sum_wins,sum_losses,sports_composite,composite_mask,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,old_sum_pe,mean_pe
19/02/2012,1,0,1,0,1,0,,,,,1,1,0,1,0,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,3,0,3,0,1,0,0.340272879,0.340272879,0,,0.368786374,0.368786374,0.406018515,0.406018515,0,,0,,0,,0,,0,,1.115077768,0.774804889,1.115077768,0.371692589
20/02/2012,,,,,1,0,0,1,1,0,1,,,,,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,0,2,-2,0,0,1,0,,-0.551801384,-0.551801384,0,,-0.634583337,-0.634583337,0,,0,,0,,0,,0,,-1.186384721,-0.634583337,-1.186384721,-0.59319236
21/02/2012,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,1,2,-1,0,0.333333333,0.666666667,-0.693754409,-0.693754409,-0.496621245,-0.496621245,0.331907736,0.331907736,0,,0,,0,,0,,0,,0,,-0.858467918,0.331907736,-0.858467918,-0.286155973
22/02/2012,,,,,1,0,,,,,1,,,,,1,1,0,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,1,0,1,0,1,0,0,,0,,0,,0.428874997,0.428874997,0,,0,,0,,0,,0,,0.428874997,0.428874997,0.428874997,0.428874997
23/02/2012,,,,,1,0,,,,,1,,,,,1,0,1,1,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,0,1,-1,0,0,1,0,,0,,0,,-0.614012503,-0.614012503,0,,0,,0,,0,,0,,-0.614012503,-0.614012503,-0.614012503,-0.614012503
24/02/2012,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,1,2,-1,0,0.333333333,0.666666667,-0.624378968,-0.624378968,0.553040879,0.553040879,-0.701283037,-0.701283037,0,,0,,0,,0,,0,,0,,-0.772621126,-0.701283037,-0.772621126,-0.257540375
25/02/2012,1,0,1,0,1,0,,,,,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,1,0,1,0,1,0,0.438058929,0.438058929,0,,0,,0,,0,,0,,0,,0,,0,,0.438058929,0,0.438058929,0.438058929
26/02/2012,,,,,1,0,0,1,1,0,1,0,1,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,0,2,-2,0,0,1,0,,-0.502263209,-0.502263209,-0.631154734,-0.631154734,0,,0,,0,,0,,0,,0,,-1.133417942,-0.631154734,-1.133417942,-0.566708971
27/02/2012,1,0,1,0,1,0,,,,,1,0,1,1,0,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,1,1,0,0,0.5,0.5,0.394253036,0.394253036,0,,-0.56803926,-0.56803926,0,,0,,0,,0,,0,,0,,-0.173786224,-0.56803926,-0.173786224,-0.086893112
28/02/2012,,,,,1,0,0,1,1,0,1,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,0,1,-1,0,0,1,0,,-0.452036888,-0.452036888,0,,0,,0,,0,,0,,0,,0,,-0.452036888,0,-0.452036888,-0.452036888
