date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
08/03/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,-0.602269817,-0.602269817,0,,0,,0,,0,,0,,0.470645609,0.470645609,-0.131624208,-0.131624208,-0.065812104
09/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0,,0.445599069,0.445599069,0,,0,,0,,0,,0.423581048,0.423581048,0.869180116,0.869180116,0.434590058
10/03/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.457957165,0.457957165,0,,0,,0,,0,,0,,0,,0.457957165,0.457957165,0.457957165
11/03/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,0,2,-2,0,1,0,,-0.598960838,-0.598960838,0,,0,,0,,0,,-0.618777057,-0.618777057,-1.217737895,-1.217737895,-0.608868948
12/03/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,-0.587838551,-0.587838551,0,,0,,0,,0,,0,,0.443100649,0.443100649,-0.144737903,-0.144737903,-0.072368951
13/03/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,0,,-0.539064754,-0.539064754,0,,0,,0,,0,,0,,-0.539064754,-0.539064754,-0.539064754
14/03/2013,0,1,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,2,0,2,-2,0,1,-0.529054696,-0.529054696,-0.485158279,-0.485158279,0,,0,,0,,0,,0,,-1.014212975,-1.014212975,-0.507106488
15/03/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
16/03/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.476149227,-0.476149227,0,,0,,0,,0,,0,,0,,-0.476149227,-0.476149227,-0.476149227
17/03/2013,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,0,2,-2,0,1,0,,-0.436642451,-0.436642451,0,,0,,0,,0,,-0.601209416,-0.601209416,-1.037851867,-1.037851867,-0.518925934
