,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,islanders_wins,islanders_losses,islanders_num_events,islanders_ties,devils_wins,devils_losses,devils_num_events,devils_ties,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,islanders_pe,islanders_pe_with_na,devils_pe,devils_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
2013-02-21,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,1.0,1.0,0.666666666667,0.333333333333,-0.540187102605,-0.540187102605,0.631543646909,0.631543646909,0.48878491561,0.48878491561,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.580141459913,0.580141459913,0.193380486638
2013-02-22,,,,,0.0,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,2,0.0,2.0,-2.0,0.0,1.0,0.0,,0.0,,0.0,,-0.477615545519,-0.477615545519,0.0,,0.0,,0.0,,0.0,,-0.670731824416,-0.670731824416,-1.14834736994,-1.14834736994,-0.574173684968
2013-02-23,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,2.0,-1.0,0.333333333333,0.666666666667,-0.486168392345,-0.486168392345,0.568389282218,0.568389282218,-0.560093575951,-0.560093575951,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.477872686078,-0.477872686078,-0.159290895359
2013-02-24,,,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,4,1.0,3.0,-2.0,0.25,0.75,0.0,,-0.488449646004,-0.488449646004,-0.504084218356,-0.504084218356,0.570146009033,0.570146009033,0.0,,0.0,,0.0,,0.0,,-0.603658641974,-0.603658641974,-1.0260464973,-1.0260464973,-0.256511624325
2013-02-25,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,
2013-02-26,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,3,1.0,2.0,-1.0,0.333333333333,0.666666666667,-0.43755155311,-0.43755155311,-0.439604681403,-0.439604681403,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.456707222223,0.456707222223,-0.420449012291,-0.420449012291,-0.140149670764
2013-02-27,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.513131408129,0.513131408129,0.0,,0.0,,0.0,,0.0,,0.0,,0.513131408129,0.513131408129,0.513131408129
2013-02-28,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,2.0,-1.0,0.333333333333,0.666666666667,0.606203602201,0.606203602201,-0.395644213263,-0.395644213263,-0.453675796521,-0.453675796521,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-0.243116407583,-0.243116407583,-0.0810388025276
2013-03-01,,,,,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,2,1.0,1.0,0.0,0.5,0.5,0.0,,0.0,,0.0,,0.461818267316,0.461818267316,0.0,,0.0,,0.0,,0.0,,-0.588963499999,-0.588963499999,-0.127145232683,-0.127145232683,-0.0635726163414
2013-03-02,,,,,0.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,2,0.0,2.0,-2.0,0.0,1.0,0.0,,0.0,,-0.408308216868,-0.408308216868,0.0,,0.0,,0.0,,0.0,,0.0,,-0.530067149999,-0.530067149999,-0.938375366868,-0.938375366868,-0.469187683434
